project_id,delay_code_id,work_type_id,category,code,code_num,active,sort_order
01a01918-db40-764e-b088-960964c8724a,01a018fe-61d6-75a5-8c30-7cce92c7c012,,,,,true,222
01a01918-db40-764e-b088-960964c8724a,01a018fe-61d9-71a1-a794-8edbb688eb4e,,,,,true,223
01a01918-db40-764e-b088-960964c8724a,01a018fe-61dd-726f-983e-94409be8c8ac,,,,,true,224
01a01918-db40-764e-b088-960964c8724a,01a018fe-61e1-73d2-9fc4-6e19b6a78837,,,,,true,225
01a01918-db40-764e-b088-960964c8724a,01a018fe-61e4-73d6-931b-7ac7d78bb2be,,,,,true,226
01a01918-db40-764e-b088-960964c8724a,01a018fe-61e7-7882-8a36-4d4cc99b1ca8,,,,,true,227
01a01918-db40-764e-b088-960964c8724a,01a018fe-61e9-7a8e-a8b2-574c1a4f3554,,,,,true,228
01a01918-db40-764e-b088-960964c8724a,01a018fe-61ed-74f4-bdb8-9923c4ad1aa6,,,,,true,229
01a01918-db40-764e-b088-960964c8724a,01a018fe-61f0-7831-ba75-8245b7b1375d,,,,,true,230
01a01918-db40-764e-b088-960964c8724a,01a018fe-61f6-77db-8dd3-0e042cd77e45,,,,,true,231
01a01918-db40-764e-b088-960964c8724a,01a018fe-61f9-7596-ae7e-e6bfcb5b0ee3,,,,,true,232
01a01918-db40-764e-b088-960964c8724a,01a018fe-61fd-7748-bb0a-86681e3dd798,,,,,true,233
01a01918-db40-764e-b088-960964c8724a,01a018fe-6200-7ef9-a9dc-26237a849dac,,,,,true,234
01a01918-db40-764e-b088-960964c8724a,01a018fe-6203-7af5-98c8-89551567bc4b,,,,,true,235
01a01918-db40-764e-b088-960964c8724a,01a018fe-6205-7ce6-af66-ee2610f50bf1,,,,,true,236
01a01918-db40-764e-b088-960964c8724a,01a018fe-6208-7a28-9a9a-6a6e27d5abf4,,,,,true,237
01a01918-db40-764e-b088-960964c8724a,01a018fe-620b-7369-8e59-6745e3cceffd,,,,,true,240
01a01918-db40-764e-b088-960964c8724a,01a018fe-620d-7516-836e-9007381205c7,,,,,true,241
01a01918-db40-764e-b088-960964c8724a,01a018fe-6210-712c-995d-f220de4cdb4f,,,,,true,242
01a01918-db40-764e-b088-960964c8724a,01a018fe-6212-7374-bd0d-a7a75a4cc4bd,,,,,true,243
01a01918-db40-764e-b088-960964c8724a,01a018fe-6215-769e-a205-038836217991,,,,,true,250
01a01918-db40-764e-b088-960964c8724a,01a018fe-6217-79a3-82a2-2e47bf3bc995,,,,,true,251
01a01918-db40-764e-b088-960964c8724a,01a018fe-621a-7195-acc5-80b8ed6513c2,,,,,true,252
01a01918-db40-764e-b088-960964c8724a,01a018fe-621d-750c-b3e1-b7df77688fcf,,,,,true,253
